VIN,Model,Report Date,Incident Date,Location,NHTSA Complaint,Details
5YJSA1DN0DF****,2013 MODEL S,12-November-19,22-January-15,"LOS GATOS, CA",11279662,"TL THE CONTACT OWNED A 2013 TESLA MODEL S. WHILE THE CONTACT'S HUSBAND WAS MAKING A RIGHT TURN AT AN UNKNOWN SPEED, THE VEHICLE FAILED TO STOP WHEN THE BRAKES WERE APPLIED AND CRASHED INTO A SIDE DITCH. THE FRONT DRIVER'S SIDE AIR BAG DEPLOYED WITH EXCESSIVE FORCE, CAUSING MULTIPLE INJURIES TO THE DRIVER. AS A RESULT, THE DRIVER WAS PRONOUNCED DEAD AT THE SCENE. A POLICE REPORT WAS FILED. THE VEHICLE WAS TOWED TO AN IMPOUND LOT WHERE IT WAS DEEMED A TOTAL LOSS. THE VEHICLE WAS NOT TAKEN TO A DEALER FOR DIAGNOSTIC TESTING. THE MANUFACTURER WAS NOTIFIED AND DID NOT ASSIST. THE FAILURE MILEAGE WAS UNKNOWN."
5YJXCDE24KF****,2019 MODEL X,6-October-19,2-October-19,"BAKERSFIELD, CA",11266551,WHILE I WAS PARKING SUDDEN UNINTENDED ACCELERATION OCCURRED VEHICLE JUMPED THE CURB AND THE VEHICLE SMASHED THE BUILDING WENT THRU THE WALL. THERE WERE TWICE PRIOR INCEDENTS WITH NO ACCIDENT BUT FREAKING OUT WHITHIN LAST 4 WEEKS.THE VEHICLE WAS IN MOTION IN CITY STREET ALL THREE INSTANCES. ALL THREE INCIDENTS I WAS TURNING THE CORNER OR PARKING WITH LESS THAN 5 MILES PER HOUR.
5YJ3E1EA4KF****,2019 MODEL 3,8-October-19,29-September-19,"WEXFORD, PA",11267131,MY WIFE WAS TRYING TO PARK THE CAR IN OUR GARAGE WHEN THE CAR SUDDENLY SPED UP AND HIT OUR INNER GARAGE WALL. IT THEN REVERSED BACK AND HIT THE WALL A SECOND TIME. THEN IT AUTOMATICALLY REVERSED AND PARKED ON THE NEIGHBOR?S DRIVEWAY. BOTH THE STERLING AIR BAG AND AIRBAG NEAR THE FEET DEPLOYED. THE CAR?S FRONT WAS SMASHED. OUR GARAGE WALL AND DOOR ARE ALSO BADLY DAMAGED. I HAVE ASKED TESLA TO INVESTIGATE IF IT WAS BECAUSE OF THE AUTOPILOT TAKING OVER BUT HAVE NOT RECEIVED A RESPONSE FROM THEM YET AFTER MORE THAN A WEEK.
5YJ3E1EA2JF****,2018 MODEL 3,14-October-19,24-September-19,"FREMONT, CA",11268280,"HELLO- I WAS TRYING TO PARK MY VEHICLE IN A PARKING SPOT IN SANTA CLARA, CALIFORNIA WHEN THE CAR AUTOMATICALLY ACCELERATED AND HIT ANOTHER CAR. IT THEN IMMEDIATELY HAD A FLAT TIRE. I DID NOT HIT THE WRONG PEDAL NOR WAS I ACCELERATING IT. IT WAS QUITE DANGEROUS. IT CAME TO A HALT AFTER HITTING ANOTHER CAR. BOTH THE CARS WERE DAMAGED.PRIOR TO THAT WE HAD DIFFICULTY TRYING TO CONNECT TO THE CAR USING THE APP ON THE PHONE BUT THOUGHT IT COULD HAVE BEEN DUE TO AN APP ERROR. NOT SURE IF IT WAS CORRELATED. THIS EVENT HAPPENED ON SEP 24. TESLA ADVISED ME TO TOW THE CAR TO THE SERVICE CENTER. SINCE THEN MY CAR HAS BEEN WITH TESLA SERVICE. THEY HAVE NOT GIVEN US ANY UPDATES ABOUT THE DIAGNOSTICS AND KEEP TELLING US TO TAKE THE CAR BACK. THEY HAVE CLEARED TO DRIVE THE CAR FOR 20 MILES. MY CAR WAS EXTENSIVELY DAMAGED. I REQUEST YOU TO HELP. THIS IS QUITE SERIOUS FOR THE SAFETY OF EVERYONE. WHILE I AM WILLING TO ACCEPT IF TESLA PROVES BEYOND A DOUBT THAT IT WAS MY ERROR, I AM QUITE CONFIDENT THAT IT DID IT AUTOMATICALLY. I AM ALSO CONCERNED THAT TESLA HAS NOT GIVEN US ANY UPDATE FOR THE LAST 3 WEEKS AND HAVE NOT PROVIDED US WITH ANY DETAILS OF WHAT THE COURSE OF ACTION IS BEYOND ASKING US TO TAKE THE CAR BACK AND CLEARING IT TO DRIVE FOR 20 MILES. I HAVE 2 KIDS AND WANT A THOROUGH INVESTIGATION FOR THE SAFETY OF EVERYONE INVOLVED. PLEASE HELP."
5YJSA1E28KF****,2019 MODEL S,21-October-19,18-October-19,"GERMANTOWN, TN",11269912,"TL THE CONTACT OWNS A 2019 TESLA MODEL S. WHILE THE CONTACT WAS PULLING INTO THE DRIVEWAY AT 4 MPH, THE VEHICLE ACCELERATED AND CRASHED INTO THE GARAGE DOOR AND WALL. THE AIR BAGS DID NOT DEPLOY, AND THE STEERING WHEEL AND BRAKES SEIZED. THERE WERE NO INJURIES. THE VEHICLE WAS NOT TAKEN TO A DEALER OR AN INDEPENDENT MECHANIC FOR DIAGNOSTIC TESTING. THE MANUFACTURER WAS NOT MADE AWARE OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 50."
5YJXCBE44KF****,2019 MODEL X,31-October-19,19-October-19,"ORLANDO, FL",11277294,5 WEEK OLD VEHICLE WITH 2200 MILES HAD THE LEFT REAR AXLE BECOME DISCONNECTED SPONTANEOUSLY AFTER ACCELERATING STRAIGHT AHEAD FROM A CITY STREET RED LIGHT WITHOUT ANY PRIOR COLLISION OR ACCIDENT. THIS WHEEL WAS TILTED 30 DEGREES INTO THE WHEEL WELL RENDERING THE CAR UNDRIVABLE. THE LEFT REAR AXLE OR CONTROL ARM WAS VISIBLY HANGING FREELY UNDERNEATH THE CAR. TESLA SERVICE HAS BEEN UNABLE TO DIAGNOSE THE CAUSE FOR SPONTANEOUS FAILURE AND AWAIT INPUT FROM THE ENGINEERING DEPARTMENT. THEY HAVE SUGGESTED THAT IT COULD BE A CONTROL ARM FAILURE OR A BROKEN ALUMINUM CAR FRAME.
5YJ3E1EA0KF****,2019 MODEL 3,1-October-19,28-August-19,"BEAVERTON, OR",11265452,"LAW ENFORCEMENT ENTRY - VEHICLE WAS INVOLVED IN A 10-VEHICLE CRASH. DRIVER AND PASSENGER BOTH STATED VEHICLE HAD UNINTENDED ACCELERATION. ADDITIONAL WITNESS STATEMENTS APPEAR TO VERIFY REPORT. *DT AS VEHICLE WAS TRAVELING ON THE HIGHWAY, THE DRIVER REPORTEDLY TRIED TO SLOW THE VEHICLE AS IT APPROACHED STOPPED/SLOWED TRAFFIC. VEHICLE DID NOT RESPOND AND DRIVER WAS NOT ABLE TO SLOW IT BEFORE IT CRASHED INTO STOPPED TRAFFIC.
"
Not Reported,2015 MODEL S,11-March-16,1-March-16,"SAN FRANCISCO, CA",10846206,"WHILE USING THE AUTOPILOT ON A BUSY I-80 FREEWAY IN SAN FRANCISCO. I WAS DRIVING SOUTH AND IN THE MIDDLE LANE TRYING TO MAKE A LANE CHANGE INTO THE LEFT LANE.

I HIT THE SPEED ADJUSTER KNOB INSTEAD OF THE TURN SIGNAL, THIS AUTOMATICALLY INCREASES THE SPEED OF THE CAR WITHOUT INTENDING TO PERFORM SUCH ACTION. THIS ACTION COULD PROVE FATAL IF A BICYCLIST OR OTHER BIKES IN THE CATEGORY ARE IN FRONT. THIS IS A DESIGN FLAW. THE TURN SIGNAL IS TOO CLOSE TO THE SPEED ADJUSTER KNOB, AND I COULD FORESEE A SAFETY INCIDENCE OCCURRING DUE TO THIS LAPSE.

THANK YOU. *TR"
5YJ3E1EB1KF****,2019 MODEL 3,10-May-19,10-May-19,"VALENCIA, CA",11206931,"I WAS STOPPED AT A RED LIGHT, SECOND IN LINE. MY CAR LUNGED BACKWARDS HITTING THE CAR BEHIND ME. I HAD DONE NOTHING TO MOVE THE VEHICLE. THERE WAS SLIGHT DAMAGE TO MY REAR END AND THEIR FRONT END. MY NECK DID WHIPLASH. THERE WAS AN INFANT IN THE BACKSEAT WHO WAS INJURED IN THE OTHER CAR. THE DRIVER OF THE OTHER CAR WAS NOT INJURED. 
 
 PLEASE CALL ME (XXXX)
 
 PARTS OF THIS DOCUMENT HAVE BEEN REDACTED TO PROTECT PERSONALLY IDENTIFIABLE INFORMATION PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)."
5YJ3E1EB0KF****,2019 MODEL 3,15-Jul-19,14-Jul-19,"COLUMBIA, MD",11231846,MY TESLA MODEL 3 JUST SUDDENLY ACCELERATED AS I WAS TURNING RIGHT TRYING TO THE LOT TO PARK THE CAR. MY CAR HIT THE WALL AND THEN THE HAZARD LIGHT CAME ON.
