1,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US per InsideEVs,0,250,"2,400","4,900","5,150","4,100","3,500","3,500","3,900","3,900","6,000","4,700","6,900","5,406","8,908","8,790","10,240","14,939","13,675","10,400","9,740","14,780","13,455","17,980","26,720","69,925","77,525","31,300","53,975","15,650","15,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foreign - implied,,0,0,0,0,"1,400","3,392","2,957","3,679","3,885","3,834","5,345","4,632","6,197","8,400","6,020","4,162","9,882","8,577","14,651","12,286","11,357","16,512","12,017","14,048","13,850","13,175","31,700","41,381","81,350","96,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total per Tesla,,250,"2,400","4,900","5,150","5,500","6,892","6,457","7,579","7,785","9,834","10,045","11,532","11,603","17,308","14,810","14,402","24,821","22,252","25,051","22,026","26,137","29,967","29,997","40,768","83,775","90,700","63,000","95,356","97,000","112,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Model 3 per Tesla,,,,,,,,,,,,,,,,,,,,,,222,"1,542","8,182","18,449","56,065","63,150","50,928","77,634","79,600","92,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Generic scrappage rate,,0.0042,0.0045,0.0047,0.005,0.0053,0.0056,0.0059,0.0062,0.0066,0.0069,0.0073,0.0077,0.0082,0.0086,0.0091,0.0096,0.0102,0.0108,0.0114,0.012,0.0127,0.0135,0.0143,0.0152,0.0161,0.0171,0.0181,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US vehicle years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2012,Q2 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9/30/2012,Q3 2012,,32,94,156,218,280,343,404,466,528,591,652,713,775,838,899,960,"1,022","1,084","1,144","1,205","1,266","1,327","1,387","1,447","1,508","1,568","1,627","1,686","1,782","1,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12/31/2012,Q4 2012,,,304,893,"1,488","2,090","2,691","3,278","3,872","4,472","5,071","5,657","6,249","6,847","7,443","8,034","8,622","9,217","9,810","10,390","10,975","11,566","12,155","12,729","13,309","13,892","14,475","15,042","15,614","16,190","17,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/31/2013,Q1 2013,,,,593,"1,809","3,038","4,266","5,467","6,680","7,906","9,131","10,327","11,537","12,759","13,979","15,184","16,389","17,604","18,819","20,003","21,199","22,407","23,614","24,790","25,975","27,172","28,363","29,526","30,697","31,878","33,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6/30/2013,Q2 2013,,,,,638,"1,930","3,221","4,484","5,760","7,049","8,337","9,596","10,868","12,154","13,438","14,706","15,972","17,253","18,530","19,779","21,038","22,309","23,579","24,819","26,069","27,328","28,586","29,810","31,046","32,291","33,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9/30/2013,Q3 2013,,,,,,519,"1,547","2,553","3,570","4,596","5,623","6,626","7,640","8,663","9,687","10,698","11,708","12,727","13,746","14,741","15,746","16,759","17,772","18,760","19,759","20,765","21,768","22,747","23,732","24,728","25,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12/31/2013,Q4 2013,,,,,,,443,"1,302","2,170","3,047","3,924","4,781","5,647","6,522","7,396","8,260","9,123","9,995","10,864","11,716","12,574","13,442","14,307","15,152","16,005","16,867","17,726","18,563","19,408","20,259","21,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/31/2014,Q1 2014,,,,,,,,424,"1,292","2,170","3,047","3,905","4,771","5,647","6,522","7,386","8,250","9,123","9,995","10,845","11,706","12,574","13,442","14,288","15,142","16,005","16,867","17,707","18,554","19,408","20,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6/30/2014,Q2 2014,,,,,,,,,483,"1,461","2,439","3,395","4,362","5,338","6,313","7,278","8,241","9,215","10,187","11,137","12,096","13,065","14,033","14,978","15,931","16,894","17,856","18,795","19,742","20,695","21,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9/30/2014,Q3 2014,,,,,,,,,,493,"1,472","2,429","3,395","4,372","5,348","6,313","7,278","8,251","9,225","10,176","11,137","12,106","13,076","14,022","14,978","15,942","16,905","17,845","18,795","19,752","20,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/31/2014,Q4 2014,,,,,,,,,,,759,"2,232","3,720","5,224","6,726","8,212","9,697","11,197","12,694","14,160","15,639","17,133","18,625","20,084","21,556","23,043","24,526","25,975","27,438","28,915","30,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/31/2015,Q1 2015,,,,,,,,,,,,569,"1,735","2,914","4,092","5,256","6,420","7,596","8,771","9,918","11,079","12,251","13,421","14,564","15,720","16,886","18,050","19,187","20,334","21,493","22,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/30/2015,Q2 2015,,,,,,,,,,,,,854,"2,585","4,316","6,026","7,735","9,463","11,189","12,876","14,580","16,303","18,023","19,704","21,400","23,115","24,827","26,500","28,186","29,890","31,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9/30/2015,Q3 2015,,,,,,,,,,,,,,684,"2,040","3,381","4,721","6,075","7,428","8,751","10,088","11,438","12,787","14,106","15,437","16,781","18,125","19,437","20,762","22,098","23,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12/31/2015,Q4 2015,,,,,,,,,,,,,,,"1,127","3,338","5,547","7,780","10,011","12,192","14,396","16,623","18,847","21,023","23,219","25,438","27,652","29,818","32,004","34,211","36,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3/31/2016,Q1 2016,,,,,,,,,,,,,,,,"1,088","3,269","5,474","7,677","9,830","12,007","14,205","16,403","18,549","20,720","22,911","25,101","27,238","29,399","31,580","33,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6/30/2016,Q2 2016,,,,,,,,,,,,,,,,,"1,268","3,837","6,405","8,915","11,452","14,015","16,577","19,081","21,609","24,166","26,719","29,213","31,731","34,277","36,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9/30/2016,Q3 2016,,,,,,,,,,,,,,,,,,"1,890","5,638","9,303","13,006","16,748","20,487","24,143","27,837","31,566","35,296","38,939","42,619","46,332","50,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12/31/2016,Q4 2016,,,,,,,,,,,,,,,,,,,"1,730","5,086","8,479","11,906","15,331","18,679","22,063","25,482","28,895","32,235","35,607","39,013","42,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3/31/2017,Q1 2017,,,,,,,,,,,,,,,,,,,,"1,259","3,840","6,448","9,055","11,603","14,177","16,779","19,379","21,919","24,487","27,079","29,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6/30/2017,Q2 2017,,,,,,,,,,,,,,,,,,,,,"1,206","3,649","6,092","8,480","10,893","13,331","15,767","18,149","20,554","22,986","25,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
